Municipio_numero;UF;Municipio;MUN_IBGE
288;BA;Casa Nova;2907202
289;BA;Castro Alves;2907301
290;BA;Catolandia;2907400
291;BA;Catu;2907509
292;BA;Caturama;2907558
293;BA;Central;2907608
294;BA;Chorrocho;2907707
295;BA;Cicero Dantas;2907806
296;BA;Cipo;2907905
297;BA;Coaraci;2908002
298;BA;Cocos;2908101
299;BA;Conceicao Da Feira;2908200
300;BA;Conceicao Do Almeida;2908309
301;BA;Conceicao Do Coite;2908408
302;BA;Conceicao Do Jacuipe;2908507
303;BA;Conde;2908606
304;BA;Condeuba;2908705
305;BA;Contendas Do Sincora;2908804
306;BA;Coracao De Maria;2908903
307;BA;Cordeiros;2909000
308;BA;Coribe;2909109
309;BA;Coronel Joao Sa;2909208
310;BA;Correntina;2909307
311;BA;Cotegipe;2909406
312;BA;Cravolandia;2909505
313;BA;Crisopolis;2909604
314;BA;Cristopolis;2909703
315;BA;Cruz Das Almas;2909802
316;BA;Curaca;2909901
317;BA;Dario Meira;2910008
318;BA;Dias Davila;2910057
319;BA;Dom Basilio;2910107
320;BA;Dom Macedo Costa;2910206
321;BA;Elisio Medrado;2910305
322;BA;Encruzilhada;2910404
323;BA;Entre Rios;2910503
324;BA;Erico Cardoso;2900504
325;BA;Esplanada;2910602
326;BA;Euclides Da Cunha;2910701
327;BA;Eunapolis;2910727
328;BA;Fatima;2910750
329;BA;Feira Da Mata;2910776
330;BA;Feira De Santana;2910800
331;BA;Filadelfia;2910859
332;BA;Firmino Alves;2910909
333;BA;Floresta Azul;2911006
334;BA;Formosa Do Rio Preto;2911105
335;BA;Gandu;2911204
336;BA;Gaviao;2911253
337;BA;Gentio Do Ouro;2911303
338;BA;Gloria;2911402
339;BA;Gongogi;2911501
340;BA;Governador Mangabeira;2911600
341;BA;Guajeru;2911659
342;BA;Guanambi;2911709
343;BA;Guaratinga;2911808
344;BA;Heliopolis;2911857
345;BA;Iacu;2911907
346;BA;Ibiassuce;2912004
347;BA;Ibicarai;2912103
348;BA;Ibicoara;2912202
349;BA;Ibicui;2912301
350;BA;Ibipeba;2912400
351;BA;Ibipitanga;2912509
352;BA;Ibiquera;2912608
353;BA;Ibirapitanga;2912707
354;BA;Ibirapua;2912806
355;BA;Ibirataia;2912905
356;BA;Ibitiara;2913002
357;BA;Ibitita;2913101
358;BA;Ibotirama;2913200
359;BA;Ichu;2913309
360;BA;Igapora;2913408
361;BA;Igrapiuna;2913457
362;BA;Iguai;2913507
363;BA;Ilheus;2913606
364;BA;Inhambupe;2913705
365;BA;Ipecaeta;2913804
366;BA;Ipiau;2913903
367;BA;Ipira;2914000
368;BA;Ipupiara;2914109
369;BA;Irajuba;2914208
370;BA;Iramaia;2914307
371;BA;Iraquara;2914406
372;BA;Irara;2914505
373;BA;Irece;2914604
374;BA;Itabela;2914653
375;BA;Itaberaba;2914703
376;BA;Itabuna;2914802
377;BA;Itacare;2914901
378;BA;Itaete;2915007
379;BA;Itagi;2915106
380;BA;Itagiba;2915205
381;BA;Itagimirim;2915304
382;BA;Itaguacu Da Bahia;2915353
383;BA;Itaju Do Colonia;2915403
384;BA;Itajuipe;2915502
385;BA;Itamaraju;2915601
386;BA;Itamari;2915700
387;BA;Itambe;2915809
388;BA;Itanagra;2915908
389;BA;Itanhem;2916005
390;BA;Itaparica;2916104
391;BA;Itape;2916203
392;BA;Itapebi;2916302
393;BA;Itapetinga;2916401
394;BA;Itapicuru;2916500
395;BA;Itapitanga;2916609
396;BA;Itaquara;2916708
397;BA;Itarantim;2916807
398;BA;Itatim;2916856
399;BA;Itirucu;2916906
400;BA;Itiuba;2917003
401;BA;Itororo;2917102
402;BA;Ituacu;2917201
403;BA;Itubera;2917300
404;BA;Iuiu;2917334
405;BA;Jaborandi;2917359
406;BA;Jacaraci;2917409
407;BA;Jacobina;2917508
408;BA;Jaguaquara;2917607
409;BA;Jaguarari;2917706
410;BA;Jaguaripe;2917805
411;BA;Jandaira;2917904
412;BA;Jequie;2918001
413;BA;Jeremoabo;2918100
414;BA;Jiquirica;2918209
415;BA;Jitauna;2918308
416;BA;Joao Dourado;2918357
417;BA;Juazeiro;2918407
418;BA;Jucurucu;2918456
419;BA;Jussara;2918506
420;BA;Jussari;2918555
421;BA;Jussiape;2918605
422;BA;Lafaiete Coutinho;2918704
423;BA;Lagoa Real;2918803
424;BA;Laje;2918902
425;BA;Lajedao;2919009
426;BA;Lajedinho;2919058
427;BA;Lajedo Do Tabocal;2918753
428;BA;Lamarao;2919108
429;BA;Lapao;2919157
430;BA;Lauro De Freitas;2919207
431;BA;Lencois;2919306
432;BA;Licinio De Almeida;2919405
433;BA;Livramento De Nossa Senhora;2919504
434;BA;Luis Eduardo Magalhaes;2919553
435;BA;Macajuba;2919603
436;BA;Macarani;2919702
437;BA;Macaubas;2919801
438;BA;Macurure;2919900
439;BA;Madre De Deus;2919926
440;BA;Maetinga;2919959
441;BA;Maiquinique;2920007
442;BA;Mairi;2920106
443;BA;Malhada;2920205
444;BA;Malhada De Pedras;2920304
445;BA;Manoel Vitorino;2920403
446;BA;Mansidao;2920452
447;BA;Maracas;2920502
448;BA;Maragogipe;2920601
449;BA;Marau;2920700
450;BA;Marcionilio Souza;2920809
451;BA;Mascote;2920908
452;BA;Mata De Sao Joao;2921005
453;BA;Matina;2921054
454;BA;Medeiros Neto;2921104
455;BA;Miguel Calmon;2921203
456;BA;Milagres;2921302
457;BA;Mirangaba;2921401
458;BA;Mirante;2921450
459;BA;Monte Santo;2921500
460;BA;Morpara;2921609
461;BA;Morro Do Chapeu;2921708
462;BA;Mortugaba;2921807
463;BA;Mucuge;2921906
464;BA;Mucuri;2922003
465;BA;Mulungu Do Morro;2922052
466;BA;Mundo Novo;2922102
467;BA;Muniz Ferreira;2922201
468;BA;Muquem Do Sao Francisco;2922250
469;BA;Muritiba;2922300
470;BA;Mutuipe;2922409
471;BA;Nazare;2922508
472;BA;Nilo Pecanha;2922607
473;BA;Nordestina;2922656
474;BA;Nova Canaa;2922706
475;BA;Nova Fatima;2922730
476;BA;Nova Ibia;2922755
477;BA;Nova Itarana;2922805
478;BA;Nova Redencao;2922854
479;BA;Nova Soure;2922904
480;BA;Nova Vicosa;2923001
481;BA;Novo Horizonte;2923035
482;BA;Novo Triunfo;2923050
483;BA;Olindina;2923100
484;BA;Oliveira Dos Brejinhos;2923209
485;BA;Ouricangas;2923308
486;BA;Ourolandia;2923357
487;BA;Palmas De Monte Alto;2923407
488;BA;Palmeiras;2923506
489;BA;Paramirim;2923605
490;BA;Paratinga;2923704
491;BA;Paripiranga;2923803
492;BA;Pau Brasil;2923902
493;BA;Paulo Afonso;2924009
494;BA;Pe De Serra;2924058
495;BA;Pedrao;2924108
496;BA;Pedro Alexandre;2924207
497;BA;Piata;2924306
498;BA;Pilao Arcado;2924405
499;BA;Pindai;2924504
500;BA;Pindobacu;2924603
501;BA;Pintadas;2924652
502;BA;Pirai Do Norte;2924678
503;BA;Piripa;2924702
504;BA;Piritiba;2924801
505;BA;Planaltino;2924900
506;BA;Planalto;2925006
507;BA;Pocoes;2925105
508;BA;Pojuca;2925204
509;BA;Ponto Novo;2925253
510;BA;Porto Seguro;2925303
511;BA;Potiragua;2925402
512;BA;Prado;2925501
513;BA;Presidente Dutra;2925600
514;BA;Presidente Janio Quadros;2925709
515;BA;Presidente Tancredo Neves;2925758
516;BA;Queimadas;2925808
517;BA;Quijingue;2925907
518;BA;Quixabeira;2925931
519;BA;Rafael Jambeiro;2925956
520;BA;Remanso;2926004
521;BA;Retirolandia;2926103
522;BA;Riachao Das Neves;2926202
523;BA;Riachao Do Jacuipe;2926301
524;BA;Riacho De Santana;2926400
525;BA;Ribeira Do Amparo;2926509
526;BA;Ribeira Do Pombal;2926608
527;BA;Ribeirao Do Largo;2926657
528;BA;Rio De Contas;2926707
529;BA;Rio Do Antonio;2926806
530;BA;Rio Do Pires;2926905
531;BA;Rio Real;2927002
532;BA;Rodelas;2927101
533;BA;Ruy Barbosa;2927200
534;BA;Salinas Da Margarida;2927309
535;BA;Salvador;2927408
536;BA;Santa Barbara;2927507
537;BA;Santa Brigida;2927606
538;BA;Santa Cruz Cabralia;2927705
539;BA;Santa Cruz Da Vitoria;2927804
540;BA;Santa Ines;2927903
541;BA;Santa Luzia;2928059
542;BA;Santa Maria Da Vitoria;2928109
543;BA;Santa Rita De Cassia;2928406
544;BA;Santa Terezinha;2928505
545;BA;Santaluz;2928000
546;BA;Santana;2928208
547;BA;Santanopolis;2928307
548;BA;Santo Amaro;2928604
549;BA;Santo Antonio De Jesus;2928703
550;BA;Santo Estevao;2928802
551;BA;Sao Desiderio;2928901
552;BA;Sao Domingos;2928950
553;BA;Sao Felipe;2929107
554;BA;Sao Felix;2929008
555;BA;Sao Felix Do Coribe;2929057
556;BA;Sao Francisco Do Conde;2929206
557;BA;Sao Gabriel;2929255
558;BA;Sao Goncalo Dos Campos;2929305
559;BA;Sao Jose Da Vitoria;2929354
560;BA;Sao Jose Do Jacuipe;2929370
561;BA;Sao Miguel Das Matas;2929404
562;BA;Sao Sebastiao Do Passe;2929503
563;BA;Sapeacu;2929602
564;BA;Satiro Dias;2929701
565;BA;Saubara;2929750
566;BA;Saude;2929800
567;BA;Seabra;2929909
568;BA;Sebastiao Laranjeiras;2930006
569;BA;Senhor Do Bonfim;2930105
570;BA;Sento Se;2930204
571;BA;Serra Do Ramalho;2930154
572;BA;Serra Dourada;2930303
573;BA;Serra Preta;2930402
574;BA;Serrinha;2930501
575;BA;Serrolandia;2930600
576;BA;Simoes Filho;2930709
577;BA;Sitio Do Mato;2930758
578;BA;Sitio Do Quinto;2930766
579;BA;Sobradinho;2930774
580;BA;Souto Soares;2930808
581;BA;Tabocas Do Brejo Velho;2930907
582;BA;Tanhacu;2931004
583;BA;Tanque Novo;2931053
584;BA;Tanquinho;2931103
585;BA;Taperoa;2931202
586;BA;Tapiramuta;2931301
587;BA;Teixeira De Freitas;2931350
588;BA;Teodoro Sampaio;2931400
589;BA;Teofilandia;2931509
590;BA;Teolandia;2931608
591;BA;Terra Nova;2931707
592;BA;Tremedal;2931806
593;BA;Tucano;2931905
594;BA;Uaua;2932002
595;BA;Ubaira;2932101
596;BA;Ubaitaba;2932200
597;BA;Ubata;2932309
598;BA;Uibai;2932408
599;BA;Umburanas;2932457
600;BA;Una;2932507
601;BA;Urandi;2932606
602;BA;Urucuca;2932705
603;BA;Utinga;2932804
604;BA;Valenca;2932903
605;BA;Valente;2933000
606;BA;Varzea Da Roca;2933059
607;BA;Varzea Do Poco;2933109
608;BA;Varzea Nova;2933158
609;BA;Varzedo;2933174
610;BA;Vera Cruz;2933208
611;BA;Vereda;2933257
612;BA;Vitoria Da Conquista;2933307
613;BA;Wagner;2933406
614;BA;Wanderley;2933455
615;BA;Wenceslau Guimaraes;2933505
616;BA;Xique-Xique;2933604
617;CE;Abaiara;2300101
618;CE;Acarapé;2300150
619;CE;Acaraú;2300200
620;CE;Acopiara;2300309
621;CE;Aiuaba;2300408
622;CE;Alcântaras;2300507
623;CE;Altaneira;2300606
624;CE;Alto Santo;2300705
625;CE;Amontada;2300754
626;CE;Antonina do Norte;2300804
627;CE;Apuiarés;2300903
628;CE;Aquiraz;2301000
629;CE;Aracati;2301109
630;CE;Aracoiaba;2301208
631;CE;Ararendá;2301257
632;CE;Araripe;2301307
633;CE;Aratuba;2301406
634;CE;Arneiroz;2301505
635;CE;Assaré;2301604
636;CE;Aurora;2301703
637;CE;Baixio;2301802
638;CE;Banabuiu;2301851
639;CE;Barbalha;2301901
640;CE;Barreira;2301950
641;CE;Barro;2302008
642;CE;Barroquinha;2302057
643;CE;Baturité;2302107
644;CE;Beberibe;2302206
645;CE;Bela Cruz;2302305
646;CE;Boa Viagem;2302404
647;CE;Brejo Santo;2302503
648;CE;Camocim;2302602
649;CE;Campos Sales;2302701
650;CE;Canindé;2302800
651;CE;Capistrano;2302909
652;CE;Caridade;2303006
653;CE;Cariré;2303105
654;CE;Caririaçu;2303204
655;CE;Cariús;2303303
656;CE;Carnaubal;2303402
657;CE;Cascavel;2303501
658;CE;Catarina;2303600
659;CE;Catunda;2303659
660;CE;Caucaia;2303709
661;CE;Cedro;2303808
662;CE;Chaval;2303907
663;CE;Choró;2303931
664;CE;Chorozinho;2303956
665;CE;Coreaú;2304004
666;CE;Crateús;2304103
667;CE;Crato;2304202
668;CE;Croatá;2304236
669;CE;Cruz;2304251
670;CE;Deputado Irapuan Pinheiro;2304269
671;CE;Ererê;2304277
672;CE;Eusébio;2304285
673;CE;Farias Brito;2304301
674;CE;Forquilha;2304350
675;CE;Fortaleza;2304400
676;CE;Fortim;2304459
677;CE;Frecheirinha;2304509
678;CE;General Sampaio;2304608
679;CE;Graça;2304657
680;CE;Granja;2304707
681;CE;Granjeiro;2304806
682;CE;Groaíras;2304905
683;CE;Guaiúba;2304954
684;CE;Guaraciaba do Norte;2305001
685;CE;Guaramiranga;2305100
686;CE;Hidrolândia;2305209
687;CE;Horizonte;2305233
688;CE;Ibaretama;2305266
689;CE;Ibiapina;2305308
690;CE;Ibicuitinga;2305332
691;CE;Icapuí;2305357
692;CE;Icó;2305407
693;CE;Iguatu;2305506
694;CE;Independência;2305605
695;CE;Ipaporanga;2305654
696;CE;Ipaumirim;2305704
697;CE;Ipu;2305803
698;CE;Ipueiras;2305902
699;CE;Iracema;2306009
700;CE;Irauçuba;2306108
701;CE;Itaiçaba;2306207
702;CE;Itaitinga;2306256
703;CE;Itapagé;2306306
704;CE;Itapipoca;2306405
705;CE;Itapiúna;2306504
706;CE;Itarema;2306553
707;CE;Itatira;2306603
708;CE;Jaguaretama;2306702
709;CE;Jaguaribara;2306801
710;CE;Jaguaribe;2306900
711;CE;Jaguaruana;2307007
712;CE;Jardim;2307106
713;CE;Jati;2307205
714;CE;Jijoca de Jericoacoara;2307254
715;CE;Juazeiro do Norte;2307304
716;CE;Jucás;2307403
717;CE;Lavras da Mangabeira;2307502
718;CE;Limoeiro do Norte;2307601
719;CE;Madalena;2307635
720;CE;Maracanaú;2307650
721;CE;Maranguape;2307700
722;CE;Marco;2307809
723;CE;Martinópole;2307908
724;CE;Massapê;2308005
725;CE;Mauriti;2308104
726;CE;Meruoca;2308203
727;CE;Milagres;2308302
728;CE;Milhã;2308351
729;CE;Miraíma;2308377
730;CE;Missão Velha;2308401
731;CE;Mombaça;2308500
732;CE;Monsenhor Tabosa;2308609
733;CE;Morada Nova;2308708
734;CE;Moraújo;2308807
735;CE;Morrinhos;2308906
736;CE;Mucambo;2309003
737;CE;Mulungu;2309102
738;CE;Nova Olinda;2309201
739;CE;Nova Russas;2309300
740;CE;Novo Oriente;2309409
741;CE;Ocara;2309458
742;CE;Orós;2309508
743;CE;Pacajus;2309607
744;CE;Pacatuba;2309706
745;CE;Pacoti;2309805
746;CE;Pacujá;2309904
747;CE;Palhano;2310001
748;CE;Palmácia;2310100
749;CE;Paracuru;2310209
750;CE;Paraipaba;2310258
751;CE;Parambu;2310308
752;CE;Paramoti;2310407
753;CE;Pedra Branca;2310506
754;CE;Penaforte;2310605
755;CE;Pentecoste;2310704
756;CE;Pereiro;2310803
757;CE;Pindoretama;2310852
758;CE;Piquet Carneiro;2310902
759;CE;Pires Ferreira;2310951
760;CE;Poranga;2311009
761;CE;Porteiras;2311108
762;CE;Potengi;2311207
763;CE;Potiretama;2311231
764;CE;Quiterianópolis;2311264
765;CE;Quixadá;2311306
766;CE;Quixelô;2311355
767;CE;Quixeramobim;2311405
768;CE;Quixeré;2311504
769;CE;Redenção;2311603
770;CE;Reriutaba;2311702
771;CE;Russas;2311801
772;CE;Saboeiro;2311900
773;CE;Salitre;2311959
774;CE;Santa Quitéria;2312205
775;CE;Santana do Acaraú;2312007
776;CE;Santana do Cariri;2312106
777;CE;São Benedito;2312304
778;CE;São Gonçalo do Amarante;2312403
779;CE;São João do Jaguaribe;2312502
780;CE;São Luís do Curu;2312601
781;CE;Senador Pompeu;2312700
782;CE;Senador Sá;2312809
783;CE;Sobral;2312908
784;CE;Solonópole;2313005
785;CE;Tabuleiro do Norte;2313104
786;CE;Tamboril;2313203
787;CE;Tarrafas;2313252
788;CE;Tauá;2313302
789;CE;Tejuçuoca;2313351
790;CE;Tianguá;2313401
791;CE;Trairi;2313500
792;CE;Tururu;2313559
793;CE;Ubajara;2313609
794;CE;Umari;2313708
795;CE;Umirim;2313757
796;CE;Uruburetama;2313807
797;CE;Uruoca;2313906
798;CE;Varjota;2313955
799;CE;Várzea Alegre;2314003
800;CE;Viçosa do Ceará;2314102
801;DF;Brasília;5300108
802;ES;Afonso Claudio;3200102
803;ES;Água Doce do Norte;3200169
804;ES;Águia Branca;3200136
805;ES;Alegre;3200201
806;ES;Alfredo Chaves;3200300
807;ES;Alto Rio Novo;3200359
808;ES;Anchieta;3200409
809;ES;Apiacá;3200508
810;ES;Aracruz;3200607
811;ES;Atilio Vivacqua;3200706
812;ES;Baixo Guandu;3200805
813;ES;Barra de São Francisco;3200904
814;ES;Boa Esperança;3201001
815;ES;Bom Jesus do Norte;3201100
816;ES;Brejetuba;3201159
817;ES;Cachoeiro de Itapemirim;3201209
818;ES;Cariacica;3201308
819;ES;Castelo;3201407
820;ES;Colatina;3201506
821;ES;Conceição da Barra;3201605
822;ES;Conceição do Castelo;3201704
823;ES;Divino de São Lourenço;3201803
824;ES;Domingos Martins;3201902
825;ES;Dores do Rio Preto;3202009
826;ES;Ecoporanga;3202108
827;ES;Fundão;3202207
828;ES;Guaçuí;3202306
829;ES;Guarapari;3202405
830;ES;Ibatiba;3202454
831;ES;Ibiraçu;3202504
832;ES;Ibitirama;3202553
833;ES;Iconha;3202603
834;ES;Irupi;3202652
835;ES;Itaguaçu;3202702
836;ES;Itapemirim;3202801
837;ES;Itarana;3202900
838;ES;Iúna;3203007
839;ES;Jaguaré;3203056
840;ES;Jerônimo Monteiro;3203106
841;ES;João Neiva;3203130
842;ES;Laranja da Terra;3203163
843;ES;Linhares;3203205
844;ES;Marataízes;3203320
845;ES;Marechal Floriano;3203346
846;ES;Mantenópolis;3203304
847;ES;Marilândia;3203353
848;ES;Mimoso do Sul;3203403
849;ES;Montanha;3203502
850;ES;Mucurici;3203601
851;ES;Muniz Freire;3203700
852;ES;Muqui;3203809
853;ES;Nova Venécia;3203908
854;ES;Pancas;3204005
855;ES;Pedro Canário;3204054
856;ES;Pinheiros;3204104
857;ES;Piúma;3204203
858;ES;Ponto Belo;3204252
859;ES;Presidente Kennedy;3204302
860;ES;Rio Bananal;3204351
861;ES;Rio Novo do Sul;3204401
862;ES;Santa Leopoldina;3204500
863;ES;Santa Maria de Jetibá;3204559
864;ES;Santa Teresa;3204609
865;ES;São Domingos do Norte;3204658
866;ES;São Gabriel da Palha;3204708
867;ES;São José do Calçado;3204807
868;ES;São Mateus;3204906
869;ES;São Roque do Canaã;3204955
870;ES;Serra;3205002
871;ES;Sooretama;3205010
