Serie;Pedido_numero;Produto_numero;Qtde;Preco_venda;Preco_total;Peso_liquido;Peso_Liquido_total;Peso_bruto;Peso_bruto_total;Valor_frete
0;19.01;37;738;4.98;3675.24;0.17999;132.83262;0.30089;222.05682;73.50
0;19.01;39;738;7.00;5166.00;0.15579;114.97302;0.27669;204.19722;103.32
0;19.01;41;738;5.03;3712.14;0.17999;132.83262;0.30089;222.05682;74.24
0;19.01;42;738;7.04;5195.52;0.1479;109.1502;0.1479;109.1502;103.91
0;19.02;76;2040;2.91;5936.40;0;0;0;0;118.73
0;19.02;115;2040;2.91;5936.40;0;0;0;0;118.73
0;19.02;170;2640;0.96;2534.40;0.018;47.52;0.018;47.52;50.69
0;19.03;172;64;6.78;433.73;0.161;10.304;0.161;10.304;8.67
0;19.03;76;1020;2.91;2969.73;0;0;0;0;59.39
0;19.03;115;1020;2.91;2969.73;0;0;0;0;59.39
0;19.03;171;3300;0.96;3180.21;0.018;59.4;0.018;59.4;63.60
0;19.03;37;1968;4.98;9791.59;0.17999;354.22032;0.30089;592.15152;195.83
0;19.03;39;1968;7.00;13769.11;0.15579;306.59472;0.27669;544.52592;275.38
0;19.04;174;2160;1.02;2203.20;0.028;60.48;0.028;60.48;44.06
0;19.04;150;432;0.98;423.36;0.038;16.416;0.038;16.416;8.47
0;19.04;152;432;0.98;423.36;0.038;16.416;0.038;16.416;8.47
0;19.04;151;1152;1.02;1175.04;0.022;25.344;0.022;25.344;23.50
0;19.05;150;1080;0.98;1058.40;0.038;41.04;0.038;41.04;21.17
0;19.05;152;1080;0.98;1058.40;0.038;41.04;0.038;41.04;21.17
0;19.05;153;3000;0.42;1260.00;0.005;15;0.0056;16.8;25.20
0;19.05;154;3000;0.42;1260.00;0.0045;13.5;1.0045;3013.5;25.20
0;19.05;151;1728;1.02;1762.56;0.022;38.016;0.022;38.016;35.25
0;19.05;123;1920;2.58;4953.60;0.02;38.4;0.144;276.48;99.07
0;19.06;41;2706;5.03;13611.18;0.17999;487.05294;0.30089;814.20834;272.22
0;19.06;42;2706;7.04;19050.24;0.1479;400.2174;0.1479;400.2174;381.00
0;20.01;176;1000;0.94;940.00;0.0125;12.5;0.0145;14.5;18.80
0;20.02;176;500;0.94;470.00;0.0125;6.25;0.0145;7.25;9.40
0;20.03;176;1000;0.94;940.00;0.0125;12.5;0.0145;14.5;18.80
0;22;176;3000;0.94;2820.00;0.0125;37.5;0.0145;43.5;56.40
0;22;177;1020;0.85;867.00;0.01475;15.045;0.01665;16.983;17.34
0;24;5;9;35.00;315.00;1;9;1;9;6.30
0;25;194;9500;0.42;3990.00;0.002;19;0.004;38;79.80
0;25;195;10000;0.42;4200.00;0.003;30;0.005;50;84.00
0;29;6;6;150.00;900.00;0;0;1;6;18.00
0;31;5;40;30.00;1200.00;1;40;1;40;24.00
0;33;189;600;4.47;2682.00;0.102;61.2;1.102;661.2;53.64
0;33;190;600;4.47;2682.00;0.102;61.2;0.102;61.2;53.64
0;33;287;600;0.91;546.00;1;600;2;1200;10.92
0;33;279;500;2.01;1005.00;1;500;2;1000;20.10
0;33;294;350;2.97;1039.50;1;350;2;700;20.79
0;33;295;150;2.97;445.50;1;150;2;300;8.91
0;33;292;425;4.40;1870.00;1;425;2;850;37.40
0;33;293;425;4.40;1870.00;1;425;2;850;37.40
0;34.01;71;2295;2.91;6678.45;0;0;0;0;133.57
0;34.01;37;492;4.98;2450.16;0.17999;88.55508;0.30089;148.03788;49.00
0;34.01;39;492;7.00;3444.00;0.15579;76.64868;0.27669;136.13148;68.88
0;34.01;150;432;0.98;423.36;0.038;16.416;0.038;16.416;8.47
0;34.01;152;432;0.98;423.36;0.038;16.416;0.038;16.416;8.47
0;34.01;151;1152;1.02;1175.04;0.022;25.344;0.022;25.344;23.50
0;34.01;75;2295;2.91;6681.89;0.012;27.54;0.012;27.54;133.64
0;34.01;153;1500;0.42;627.00;0.005;7.5;0.0056;8.4;12.54
0;34.01;154;1500;0.42;627.00;0.0045;6.75;1.0045;1506.75;12.54
0;34.02;76;1020;2.91;2969.73;0;0;0;0;59.39
0;34.02;115;1020;2.91;2969.73;0;0;0;0;59.39
0;34.03;41;1230;5.03;6186.90;0.17999;221.3877;0.30089;370.0947;123.74
0;34.03;42;1230;7.04;8659.20;0.1479;181.917;0.1479;181.917;173.18
0;34.03;174;360;1.02;367.20;0.028;10.08;0.028;10.08;7.34
0;34.03;150;648;0.98;635.04;0.038;24.624;0.038;24.624;12.70
0;34.03;152;648;0.98;635.04;0.038;24.624;0.038;24.624;12.70
0;34.03;151;1152;1.02;1175.04;0.022;25.344;0.022;25.344;23.50
0;34.04;71;1275;2.91;3712.16;0;0;0;0;74.24
0;34.04;75;1275;2.91;3712.16;0.012;15.3;0.012;15.3;74.24
0;35.01;71;765;2.91;2226.15;0;0;0;0;44.52
0;35.01;75;765;2.91;2226.15;0.012;9.18;0.012;9.18;44.52
0;35.01;41;738;5.03;3712.14;0.17999;132.83262;0.30089;222.05682;74.24
0;35.01;42;738;7.04;5195.52;0.1479;109.1502;0.1479;109.1502;103.91
0;35.02;71;1275;2.91;3710.25;0;0;0;0;74.21
0;35.02;75;1275;2.91;3710.25;0.012;15.3;0.012;15.3;74.21
0;37;349;40;150.00;6000.00;1;40;1;40;120.00
0;38;401;46;100.00;4600.00;1;46;1;46;92.00
0;40.01;290;100;3.06;306.00;1;100;2;200;6.12
0;40.01;291;100;3.06;306.00;1;100;2;200;6.12
0;40.01;292;325;4.40;1430.00;1;325;2;650;28.60
0;40.01;293;325;4.40;1430.00;1;325;2;650;28.60
0;40.01;294;250;2.97;742.50;1;250;2;500;14.85
0;40.01;295;250;2.97;742.50;1;250;2;500;14.85
0;40.01;189;120;4.47;536.40;0.102;12.24;1.102;132.24;10.73
0;40.01;190;120;4.47;536.40;0.102;12.24;0.102;12.24;10.73
0;40.02;184;150;1.13;169.50;0.33;49.5;0.33;49.5;3.39
0;40.02;185;150;1.13;169.50;0.33;49.5;0.33;49.5;3.39
0;41.01;178;300;6.04;1812.00;0.212;63.6;1.212;363.6;36.24
0;41.01;179;300;6.04;1812.00;0.212;63.6;1.212;363.6;36.24
0;41.01;119;528;19.09;10079.52;8.376;4422.528;8.376;4422.528;201.59
0;41.02;119;132;19.09;2519.88;8.376;1105.632;8.376;1105.632;50.40
0;44;191;3000;0.61;1830.00;0;0;0.01;30;36.60
0;44;192;7000;1.01;7070.00;0;0;0.015;105;141.40
0;44;193;7000;0.29;2030.00;0;0;0.004;28;40.60
0;44;194;4000;0.42;1680.00;0.002;8;0.004;16;33.60
0;44;195;4000;0.42;1680.00;0.003;12;0.005;20;33.60
0;48;181;1440;1.48;2131.20;0.035;50.4;0.0433;62.352;42.62
0;49.01;205;4032;1.78;7176.96;0.0225;90.72;0.0225;90.72;143.54
0;51;176;500;0.94;470.00;0.0125;6.25;0.0145;7.25;9.40
0;51;177;1530;0.85;1300.50;0.01475;22.5675;0.01665;25.4745;26.01
0;55;6;12;150.00;1800.00;0;0;1;12;36.00
0;56;5;28;30.00;840.00;1;28;1;28;16.80
0;57;6;16;150.00;2400.00;0;0;1;16;48.00
0;58;5;27;30.00;810.00;1;27;1;27;16.20
0;59;5;2;35.00;70.00;1;2;1;2;1.40
0;60;26;4;1000.00;4000.00;1;4;2;8;80.00
0;60;9;30;30.00;900.00;1;30;1;30;18.00
0;61;5;40;30.00;1200.00;1;40;1;40;24.00
0;62;397;2;26.90;53.80;1;2;1;2;1.08
0;62;400;2;18.21;36.42;1;2;1;2;0.73
0;63;397;2;26.90;53.80;1;2;1;2;1.08
0;63;400;2;18.21;36.42;1;2;1;2;0.73
0;64;5;12;35.00;420.00;1;12;1;12;8.40
0;65;349;7;150.00;1050.00;1;7;1;7;21.00
0;66;401;35;100.00;3500.00;1;35;1;35;70.00
0;66;30;3;46.00;138.00;1;3;2;6;2.76
0;67;412;10;12.90;129.00;0;0;1;10;2.58
0;68;159;1;198.59;198.59;1;1;2;2;3.97
0;68;161;24;73.04;1752.96;1;24;2;48;35.06
0;69;26;1;1000.00;1000.00;1;1;2;2;20.00
0;70;415;1850;2.50;4625.00;1;1850;1;1850;92.50
0;72;5;34;30.00;1020.00;1;34;1;34;20.40
0;73;6;4;150.00;600.00;0;0;1;4;12.00
0;74;5;4;35.00;140.00;1;4;1;4;2.80
0;75;76;1020;2.91;2969.73;0;0;0;0;59.39
0;75;115;1020;2.91;2969.73;0;0;0;0;59.39
0;79;205;4032;1.78;7176.96;0.0225;90.72;0.0225;90.72;143.54
0;81;205;4032;1.78;7176.96;0.0225;90.72;0.0225;90.72;143.54
0;82;159;1;198.59;198.59;1;1;2;2;3.97
0;82;161;24;73.04;1752.96;1;24;2;48;35.06
0;83;205;4032;1.77;7136.64;0.0225;90.72;0.0225;90.72;142.73
0;84;415;140;2.50;350.00;1;140;1;140;7.00
0;85;189;240;4.47;1072.80;0.102;24.48;1.102;264.48;21.46
0;85;190;240;4.47;1072.80;0.102;24.48;0.102;24.48;21.46
0;85;288;150;2.95;442.50;1;150;2;300;8.85
0;85;289;150;2.95;442.50;1;150;2;300;8.85
0;85;290;250;3.06;765.00;1;250;2;500;15.30
0;85;291;250;3.06;765.00;1;250;2;500;15.30
0;85;292;50;4.40;220.00;1;50;2;100;4.40
0;85;293;50;4.40;220.00;1;50;2;100;4.40
0;85;294;50;2.97;148.50;1;50;2;100;2.97
0;85;295;50;2.97;148.50;1;50;2;100;2.97
0;86;5;1;35.00;35.00;1;1;1;1;0.70
0;87;6;10;150.00;1500.00;0;0;1;10;30.00
0;88;5;19;30.00;570.00;1;19;1;19;11.40
0;89;349;14;150.00;2100.00;1;14;1;14;42.00
0;90;401;22;100.00;2200.00;1;22;1;22;44.00
0;90;30;2;46.00;92.00;1;2;2;4;1.84
0;91;6;6;150.00;900.00;0;0;1;6;18.00
0;93;153;1500;0.42;627.00;0.005;7.5;0.0056;8.4;12.54
0;93;154;1500;0.42;627.00;0.0045;6.75;1.0045;1506.75;12.54
0;95;5;20;30.00;600.00;1;20;1;20;12.00
0;96;210;4320;2.50;10816.42;1.03328;4463.7696;1.03788;4483.6416;216.33
0;96;212;3600;25.84;93014.64;3.00408;10814.688;3.05408;10994.688;1860.29
0;96;183;3000;0.56;1670.40;0.00726;21.78;0.00826;24.78;33.41
0;96;211;3840;1.42;5445.12;1.008;3870.72;1.009;3874.56;108.90
0;97;5;25;35.00;875.00;1;25;1;25;17.50
0;101;5;35;30.00;1050.00;1;35;1;35;21.00
0;102;5;2;35.00;70.00;1;2;1;2;1.40
0;105;14;656;10.79;7078.24;1;656;1;656;141.56
0;106;207;3610;1.13;4067.03;0.0132;47.652;0.0132;47.652;81.34
0;107;155;5;171.22;856.10;1;5;2;10;17.12
0;107;159;1;198.59;198.59;1;1;2;2;3.97
0;108;172;64;6.78;433.73;0.161;10.304;0.161;10.304;8.67
0;109;5;4;30.00;120.00;1;4;1;4;2.40
0;110;207;3610;1.13;4067.03;0.0132;47.652;0.0132;47.652;81.34
0;111;207;3610;1.12;4043.20;0.0132;47.652;0.0132;47.652;80.86
0;112;590;960;52.74;50626.56;1;960;2;1920;1012.53
0;112.01;590;960;52.74;50626.56;1;960;2;1920;1012.53
0;113;340;48;18.76;900.48;1;48;1;48;18.01
0;114;181;1080;1.48;1598.40;0.035;37.8;0.0433;46.764;31.97
0;116;41;2460;5.03;12363.47;0.17999;442.7754;0.30089;740.1894;247.27
0;116;42;2460;7.04;17317.91;0.1479;363.834;0.1479;363.834;346.36
0;117;178;400;6.04;2416.00;0.212;84.8;1.212;484.8;48.32
0;117;179;400;6.04;2416.00;0.212;84.8;1.212;484.8;48.32
0;118;119;396;19.09;7559.64;8.376;3316.896;8.376;3316.896;151.19
0;118;121;288;5.77;1661.76;2.259;650.592;2.259;650.592;33.24
0;118;122;288;5.77;1661.76;2.259;650.592;2.259;650.592;33.24
0;120;9;64;30.00;1920.00;1;64;1;64;38.40
0;120;26;3;1000.00;3000.00;1;3;2;6;60.00
0;121;5;9;35.00;315.00;1;9;1;9;6.30
0;122;5;9;35.00;315.00;1;9;1;9;6.30
0;123;6;20;150.00;3000.00;0;0;1;20;60.00
0;124;9;40;30.00;1200.00;1;40;1;40;24.00
0;125;120;363;6.08;2207.04;2.1695;787.5285;2.1695;787.5285;44.14
0;126;26;3;1000.00;3000.00;1;3;2;6;60.00
0;127;41;1230;5.02;6174.60;0.17999;221.3877;0.30089;370.0947;123.49
0;127;42;1230;7.04;8658.95;0.1479;181.917;0.1479;181.917;173.18
0;127;174;360;1.02;365.40;0.028;10.08;0.028;10.08;7.31
0;127;150;648;0.98;636.34;0.038;24.624;0.038;24.624;12.73
0;127;152;648;0.98;636.34;0.038;24.624;0.038;24.624;12.73
0;127;151;1152;0.72;828.29;0.022;25.344;0.022;25.344;16.57
0;128;150;1080;0.98;1060.56;0.038;41.04;0.038;41.04;21.21
0;128;152;1080;0.98;1060.56;0.038;41.04;0.038;41.04;21.21
0;128;153;3000;0.42;1254.00;0.005;15;0.0056;16.8;25.08
0;128;154;3000;0.42;1254.00;0.0045;13.5;1.0045;3013.5;25.08
0;128;151;1728;0.72;1242.43;0.022;38.016;0.022;38.016;24.85
0;128;123;1920;2.58;4953.60;0.02;38.4;0.144;276.48;99.07
0;129;71;2295;2.91;6681.89;0;0;0;0;133.64
0;129;37;492;4.98;2447.90;0.17999;88.55508;0.30089;148.03788;48.96
0;129;39;492;7.00;3442.28;0.15579;76.64868;0.27669;136.13148;68.85
0;129;150;432;0.98;424.22;0.038;16.416;0.038;16.416;8.48
0;129;152;432;0.98;424.22;0.038;16.416;0.038;16.416;8.48
0;129;151;1152;0.72;828.29;0.022;25.344;0.022;25.344;16.57
0;129;75;2295;2.91;6681.89;0.012;27.54;0.012;27.54;133.64
0;129;153;1500;0.42;627.00;0.005;7.5;0.0056;8.4;12.54
0;129;154;1500;0.42;627.00;0.0045;6.75;1.0045;1506.75;12.54
0;130;174;2160;1.02;2192.40;0.028;60.48;0.028;60.48;43.85
0;130;150;432;0.98;424.22;0.038;16.416;0.038;16.416;8.48
0;130;152;432;0.98;424.22;0.038;16.416;0.038;16.416;8.48
0;130;151;1152;0.72;828.29;0.022;25.344;0.022;25.344;16.57
0;132;41;1230;5.03;6186.90;0.17999;221.3877;0.30089;370.0947;123.74
0;132;42;1230;7.04;8659.20;0.1479;181.917;0.1479;181.917;173.18
0;132;174;360;1.02;367.20;0.028;10.08;0.028;10.08;7.34
0;132;150;648;0.98;635.04;0.038;24.624;0.038;24.624;12.70
0;132;152;648;0.98;635.04;0.038;24.624;0.038;24.624;12.70
0;132;151;1152;1.02;1175.04;0.022;25.344;0.022;25.344;23.50
0;133;174;2160;1.02;2203.20;0.028;60.48;0.028;60.48;44.06
0;133;150;432;0.98;423.36;0.038;16.416;0.038;16.416;8.47
0;133;152;432;0.98;423.36;0.038;16.416;0.038;16.416;8.47
0;133;151;1152;1.02;1175.04;0.022;25.344;0.022;25.344;23.50
0;134;150;1080;0.98;1058.40;0.038;41.04;0.038;41.04;21.17
0;134;152;1080;0.98;1058.40;0.038;41.04;0.038;41.04;21.17
0;134;153;3000;0.42;1260.00;0.005;15;0.0056;16.8;25.20
0;134;154;3000;0.42;1260.00;0.0045;13.5;1.0045;3013.5;25.20
0;134;151;1728;1.02;1762.56;0.022;38.016;0.022;38.016;35.25
0;134;123;1920;2.58;4953.60;0.02;38.4;0.144;276.48;99.07
0;135;590;240;52.74;12656.64;1;240;2;480;253.13
0;135;592;420;14.70;6174.88;1;420;2;840;123.50
0;135;593;420;14.02;5886.85;1;420;2;840;117.74
0;135;597;271;8.44;2286.21;1;271;2;542;45.72
0;136;340;54;4.86;262.44;1;54;1;54;5.25
0;137;349;3;150.00;450.00;1;3;1;3;9.00
0;138;6;22;150.00;3300.00;0;0;1;22;66.00
0;139;176;1000;0.94;936.00;0.0125;12.5;0.0145;14.5;18.72
0;140;5;2;35.00;70.00;1;2;1;2;1.40
0;141;171;1100;0.96;1060.07;0.018;19.8;0.018;19.8;21.20
0;141;37;738;4.98;3671.85;0.17999;132.83262;0.30089;222.05682;73.44
0;141;39;738;7.00;5163.42;0.15579;114.97302;0.27669;204.19722;103.27
0;141;150;216;0.98;212.11;0.038;8.208;0.038;8.208;4.24
0;141;152;216;0.98;212.11;0.038;8.208;0.038;8.208;4.24
0;141;151;576;0.72;414.14;0.022;12.672;0.022;12.672;8.28
0;142;6;6;150.00;900.00;0;0;1;6;18.00
0;143;5;8;30.00;240.00;1;8;1;8;4.80
0;144;266;600;0.72;432.00;1;600;2;1200;8.64
0;144;592;433;14.70;6366.01;1;433;2;866;127.32
0;144;593;433;14.02;6069.06;1;433;2;866;121.38
0;145;340;44;18.76;825.44;1;44;1;44;16.51
0;145;30;1;1.00;1.00;1;1;2;2;0.02
0;146;14;426;10.79;4596.54;1;426;1;426;91.93
0;146;14;230;6.56;1508.80;1;230;1;230;30.18
0;147;14;230;6.56;1508.80;1;230;1;230;30.18
0;148;14;426;10.79;4596.54;1;426;1;426;91.93
0;150;254;600;8.74;5245.20;1;600;2;1200;104.90
0;152;210;1680;2.50;4206.38;1.03328;1735.9104;1.03788;1743.6384;84.13
0;152;212;1600;25.84;41339.84;3.00408;4806.528;3.05408;4886.528;826.80
0;152;183;2000;0.56;1113.60;0.00726;14.52;0.00826;16.52;22.27
0;152;211;1920;1.42;2722.56;1.008;1935.36;1.009;1937.28;54.45
0;153;5;11;35.00;385.00;1;11;1;11;7.70
0;154;191;3000;0.61;1830.00;0;0;0.01;30;36.60
0;154;192;7000;1.01;7070.00;0;0;0.015;105;141.40
0;154;193;7000;0.29;2030.00;0;0;0.004;28;40.60
0;154;194;4000;0.42;1680.00;0.002;8;0.004;16;33.60
0;154;195;4000;0.42;1680.00;0.003;12;0.005;20;33.60
0;155;349;20;150.00;3000.00;1;20;1;20;60.00
0;158.01;605;120;26.05;3126.00;1;120;2;240;62.52
0;159;349;1;150.00;150.00;1;1;1;1;3.00
0;160;254;600;8.74;5245.20;1;600;2;1200;104.90
0;161;349;20;150.00;3000.00;1;20;1;20;60.00
0;162;184;150;1.13;169.50;0.33;49.5;0.33;49.5;3.39
0;162;185;150;1.13;169.50;0.33;49.5;0.33;49.5;3.39
0;162;189;450;4.47;2011.50;0.102;45.9;1.102;495.9;40.23
0;162;190;450;4.47;2011.50;0.102;45.9;0.102;45.9;40.23
0;162;290;300;3.06;918.00;1;300;2;600;18.36
0;162;291;300;3.06;918.00;1;300;2;600;18.36
0;162;288;300;2.95;885.00;1;300;2;600;17.70
0;162;289;300;2.95;885.00;1;300;2;600;17.70
0;162;294;200;2.97;594.00;1;200;2;400;11.88
0;162;295;200;2.97;594.00;1;200;2;400;11.88
0;162;292;200;4.40;880.00;1;200;2;400;17.60
0;162;293;200;4.40;880.00;1;200;2;400;17.60
0;162;604;92;29.15;2681.80;1;92;2;184;53.64
0;163;349;28;150.00;4200.00;1;28;1;28;84.00
0;163;6;1;150.00;150.00;0;0;1;1;3.00
0;165;619;10;26.90;269.00;1;10;1;10;5.38
0;167;400;75;19.13;1434.83;1;75;1;75;28.70
0;168;179;520;6.04;3140.80;0.212;110.24;1.212;630.24;62.82
0;168;178;520;6.04;3140.80;0.212;110.24;1.212;630.24;62.82
0;168;119;264;19.09;5039.76;8.376;2211.264;8.376;2211.264;100.80
0;168;120;264;6.08;1605.12;2.1695;572.748;2.1695;572.748;32.10
0;168;121;144;5.77;830.88;2.259;325.296;2.259;325.296;16.62
0;168;122;144;5.77;830.88;2.259;325.296;2.259;325.296;16.62
0;170;210;1200;2.50;3004.56;1.03328;1239.936;1.03788;1245.456;60.09
0;170;212;400;25.84;10334.96;3.00408;1201.632;3.05408;1221.632;206.70
0;170;183;5000;0.56;2784.00;0.00726;36.3;0.00826;41.3;55.68
0;170;211;960;1.42;1361.28;1.008;967.68;1.009;968.64;27.23
0;170;182;600;2.20;1319.82;0.0583;34.98;0.0663;39.78;26.40
0;171;5;16;35.00;560.00;1;16;1;16;11.20
0;172;401;48;100.00;4800.00;1;48;1;48;96.00
0;172;30;4;46.00;184.00;1;4;2;8;3.68
0;173;181;1200;1.48;1776.00;0.035;42;0.0433;51.96;35.52
0;174;5;10;35.00;350.00;1;10;1;10;7.00
0;175;123;960;2.58;2476.80;0.02;19.2;0.144;138.24;49.54
0;175;75;2295;2.91;6681.89;0.012;27.54;0.012;27.54;133.64
0;175;71;2295;2.91;6681.89;0;0;0;0;133.64
0;175;170;880;0.96;848.06;0.018;15.84;0.018;15.84;16.96
0;175;171;15400;0.96;14840.98;0.018;277.2;0.018;277.2;296.82
0;175;37;246;4.98;1223.95;0.17999;44.27754;0.30089;74.01894;24.48
0;175;39;246;7.00;1721.14;0.15579;38.32434;0.27669;68.06574;34.42
0;175;150;648;0.98;636.34;0.038;24.624;0.038;24.624;12.73
0;175;152;648;0.98;636.34;0.038;24.624;0.038;24.624;12.73
0;175;151;1152;0.72;828.29;0.022;25.344;0.022;25.344;16.57
0;176;6;2;150.00;300.00;0;0;1;2;6.00
0;177;176;1000;0.94;936.00;0.0125;12.5;0.0145;14.5;18.72
0;178;5;1;35.00;35.00;1;1;1;1;0.70
0;180;621;300;1.24;371.13;1;300;2;600;7.42
0;181;196;426;10.34;4404.84;0.378;161.028;0.378;161.028;88.10
0;181;197;426;10.34;4404.84;0.378;161.028;0.378;161.028;88.10
0;181;200;4872;2.60;12667.20;0.027;131.544;0.027;131.544;253.34
0;181;201;800;3.50;2800.00;0.099;79.2;0.099;79.2;56.00
0;181;202;800;3.50;2800.00;0.099;79.2;0.099;79.2;56.00
0;184;288;14;2.95;41.30;1;14;2;28;0.83
0;186;196;426;10.34;4404.84;0.378;161.028;0.378;161.028;88.10
0;186;197;426;10.34;4404.84;0.378;161.028;0.378;161.028;88.10
0;186;200;4872;2.60;12667.20;0.027;131.544;0.027;131.544;253.34
0;186;201;800;3.50;2800.00;0.099;79.2;0.099;79.2;56.00
0;186;202;800;3.50;2800.00;0.099;79.2;0.099;79.2;56.00
0;188;196;426;10.34;4404.84;0.378;161.028;0.378;161.028;88.10
0;188;197;426;10.34;4404.84;0.378;161.028;0.378;161.028;88.10
0;188;200;4872;2.60;12667.20;0.027;131.544;0.027;131.544;253.34
0;188;201;800;3.50;2800.00;0.099;79.2;0.099;79.2;56.00
0;188;202;800;3.50;2800.00;0.099;79.2;0.099;79.2;56.00
0;190;412;50;12.90;645.00;1;50;1;50;12.90
0;191;288;14;2.95;41.30;1;14;2;28;0.83
0;192;196;568;10.34;5873.12;0.378;214.704;0.378;214.704;117.46
0;192;197;568;10.34;5873.12;0.378;214.704;0.378;214.704;117.46
0;194;415;1716;2.50;4290.00;1;1716;1;1716;85.80
0;197;75;1275;2.91;3712.16;0.012;15.3;0.012;15.3;74.24
0;197;71;1275;2.91;3712.16;0;0;0;0;74.24
0;197;171;1980;0.96;1908.13;0.018;35.64;0.018;35.64;38.16
0;197;41;1476;5.02;7409.52;0.17999;265.66524;0.30089;444.11364;148.19
0;197;42;1476;7.04;10390.74;0.1479;218.3004;0.1479;218.3004;207.81
0;197;37;1230;4.98;6119.74;0.17999;221.3877;0.30089;370.0947;122.39
0;197;39;1230;7.00;8605.70;0.15579;191.6217;0.27669;340.3287;172.11
0;198;6;22;150.00;3300.00;0;0;1;22;66.00
0;200;254;514;8.74;4493.39;1;514;2;1028;89.87
0;204;389;1200;20.94;25128.00;1;1200;1;1200;502.56
0;205;189;300;4.47;1341.00;0.102;30.6;1.102;330.6;26.82
0;205;190;300;4.47;1341.00;0.102;30.6;0.102;30.6;26.82
0;205;290;200;3.06;612.00;1;200;2;400;12.24
0;205;291;200;3.06;612.00;1;200;2;400;12.24
0;205;288;250;2.95;737.50;1;250;2;500;14.75
0;205;289;250;2.95;737.50;1;250;2;500;14.75
0;205;294;50;2.97;148.50;1;50;2;100;2.97
0;205;295;50;2.97;148.50;1;50;2;100;2.97
0;206;349;20;150.00;3000.00;1;20;1;20;60.00
0;209;17;700;14.30;10010.00;1;700;1;700;200.20
0;210;401;63;150.00;9450.00;1;63;1;63;189.00
0;211;253;180;3.65;657.00;1;180;2;360;13.14
0;214;290;100;3.06;306.00;1;100;2;200;6.12
0;214;291;100;3.06;306.00;1;100;2;200;6.12
0;214;288;200;2.95;590.00;1;200;2;400;11.80
0;214;289;200;2.95;590.00;1;200;2;400;11.80
0;214;292;175;4.40;770.00;1;175;2;350;15.40
0;214;293;175;4.40;770.00;1;175;2;350;15.40
